,fullTimeEmployees,auditRisk,overallRisk,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,averageVolume,marketCap,ebitdaMargins,earningsGrowth,returnOnEquity,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical,PCA1,PCA2
393,468.0,8.0,6.0,5.69,3.1969001,4.85,1.012,35.603775,5334140.0,50483044352.0,0.90152,-0.244,0.02404,0,-1,0,-51883973482.326256,572643.5056330096
394,495.0,5.0,1.0,3.87,1.2867,4.23,1.23,34.700005,1003981.0,13307739136.0,0.62513,-0.038,0.05817,0,-1,0,-89059278808.07823,-2681604.5572147397
395,15106.0,7.0,10.0,0.55,0.0,0.0,0.268,14.066651,926401.0,69679382528.0,0.32587,-0.208,0.15951,0,-1,0,-32687635441.930847,-4390673.5224290695
396,19644.0,4.0,6.0,4.67,0.5078,3.99,1.208,9.477876,8592865.0,19395061760.0,0.0,0.0,0.10694,0,-1,0,-82971955966.9901,4731092.921760891
397,42000.0,5.0,2.0,0.97,0.3436,1.41,0.738,35.0279,1065162.0,74492461056.0,0.30782,0.168,0.18624,0,-1,0,-27874556911.926407,-4391223.314513421
398,0.0,4.0,4.0,0.96,0.2385,0.83,0.737,21.37415,937065.0,32301930496.0,0.34755,0.649,0.25654,0,-1,0,-70065087457.97015,-3298241.393915533
399,11000.0,9.0,8.0,0.27,0.121700004,0.22,1.066,20.468994,940826.0,12689926144.0,0.30403998,0.219,0.036429998,0,-1,0,-89677091801.6456,-2726884.127024632
400,27000.0,7.0,8.0,2.03,0.6301,1.71,1.382,22.686844,844524.0,29244069888.0,0.19457,-0.134,0.24847999,0,-1,0,-73122948067.36342,-3302296.13822133
401,20265.0,4.0,9.0,1.24,0.64059997,1.05,0.777,47.375,1789814.0,25738133504.0,0.22767,-0.03,0.37518,0,-1,0,-76628884422.5379,-2255535.8338893605
402,18200.0,7.0,6.0,0.57,0.2091,0.53,1.056,29.102898,632721.0,62566797312.0,0.39914,0.185,0.08533,0,-1,0,-39800220663.45103,-4478505.827020775
403,0.0,9.0,6.0,1.29,0.2326,0.96,1.156,18.747383,2872634.0,41379692544.0,0.14352,-0.02,0.40282002,0,-1,0,-60987325357.75362,-1625396.9982087393
404,105950.0,4.0,9.0,1.45,0.0868,2.52,2.544,14.526242,2696101.0,55865798656.0,0.34686002,0.899,0.45828998,0,-1,0,-46501219256.91291,-2221230.9204342086
405,42350.0,1.0,3.0,0.76,0.2947,0.82,1.2,29.893517,1377549.0,154111279104.0,0.49036,0.558,0.11023,0,-1,0,51744261111.76854,-6383127.443088584
